ID_Mahasiswa;Gender;IPS_Sem1;IPS_Sem2;IPS_Sem3;IPS_Sem4;Total_SKS_Ambil;Total_SKS_Lulus;Nilai_Matkul_Killer;Jml_Mengulang;Status_Beasiswa;Bekerja;Label_Lulus
MHS046;0;3.521.837.822.684.370;31.144.892.690.942.700;2.232.967.440.650.530;3.181.534.801.668.650;124;112;3;0;0;0;0
MHS047;1;30.060.732.545.366.100;34.654.670.419.870.300;2.738.405.953.206.440;34.745.714.938.904.900;128;110;1;3;1;0;1
MHS048;0;27.943.547.046.700.900;3.492.011.772.281.540;3.051.784.042.221.170;3.133.818.007.081.560;121;103;2;4;0;0;1
MHS049;1;3.602.461.460.889.280;2.401.669.765.393.230;33.853.391.647.615.500;33.335.280.517.348.900;126;120;1;4;1;1;1
MHS050;0;31.622.591.581.872.700;383.764.662.483.411;34.444.921.471.385.700;32.480.321.166.129.300;86;58;2;5;0;1;1
MHS051;1;34.431.009.830.646.800;28.831.484.103.429.900;30.221.752.787.495.300;2.411.936.261.005.460;107;89;4;4;0;1;1
MHS052;1;3.144.941.405.768.560;2.906.387.521.825.590;21.283.573.763.941.200;35.347.389.760.204.300;100;82;1;3;1;0;1
MHS053;0;26.041.400.106.722.100;24.140.115.727.747.700;2.206.768.190.786.830;27.889.114.125.245.000;127;108;4;4;0;0;1
MHS054;0;3.259.673.257.120.580;3.766.369.456.501.280;2.945.619.925.771.570;32.008.558.610.494.700;94;71;1;5;0;1;1
MHS055;1;31.120.462.409.052.000;30.062.962.003.908.900;3.048.838.049.274.410;26.134.951.080.722.600;89;65;2;0;0;1;1
MHS056;0;4.0;2.616.326.218.555.970;3.436.160.318.360.330;3.091.671.002.869.170;126;116;4;1;1;1;0
MHS057;1;25.622.191.059.840.100;2.882.575.833.205.340;25.063.853.961.635.300;27.544.182.356.252.700;105;80;4;1;1;1;1
MHS058;1;20.436.467.414.678.900;3.181.238.229.402.650;3.285.673.755.163.390;34.852.619.100.066.000;98;86;2;2;0;1;1
MHS059;1;38.423.424.823.028.100;2.134.842.344.787.910;3.071.025.045.958.780;35.185.792.324.723.100;74;52;4;0;1;0;1
MHS060;1;2.143.432.735.454.560;3.676.936.187.082.700;2.942.730.077.373.690;3.618.908.155.986.730;70;50;4;5;1;0;1
MHS061;0;3.758.116.661.466.940;3.156.229.240.548.970;284.348.814.589.178;22.004.382.637.312.500;70;52;1;4;1;1;1
MHS062;0;3.530.223.407.055.230;3.770.685.498.459.090;25.860.534.605.421.400;28.480.677.822.845.300;95;70;2;5;1;0;1
MHS063;0;3.468.536.260.157.580;27.153.369.347.256.100;32.068.563.999.760.300;36.710.442.521.529.500;116;94;3;4;0;1;1
MHS064;1;3.101.556.773.973.250;3.024.786.364.649.700;380.528.923.161.165;36.369.966.952.944.000;148;122;3;1;1;0;1
MHS065;1;3.433.035.258.021.390;29.482.119.500.491.800;31.100.371.644.018.100;20.580.582.553.830.500;74;46;4;1;1;0;1
MHS066;1;30.640.205.342.792.300;27.593.308.253.601.300;24.259.725.469.221.200;26.988.718.985.589.100;112;97;3;2;0;0;1
MHS067;0;3.183.299.123.048.420;2.530.060.106.836.320;2.743.066.541.331.650;24.703.932.390.555.200;136;134;3;4;1;1;1
MHS068;0;27.348.711.908.137.700;2.603.563.583.868.820;2.946.484.820.022.720;2.482.378.838.790.310;115;114;1;5;1;0;1
MHS069;0;2.650.137.246.003.700;3.106.989.955.367.110;2.943.835.975.154.580;28.895.152.002.333.800;70;63;1;2;0;1;1
MHS070;0;33.998.456.112.926.000;30.345.027.556.795.100;33.843.637.460.736.600;26.098.283.229.711.400;147;124;2;4;1;1;1
MHS071;0;3.425.701.046.189.410;25.060.320.771.017.200;3.014.310.279.783.910;34.843.115.781.522.100;87;62;2;2;0;0;1
MHS072;1;26.218.246.273.578.400;2.288.873.145.201.160;2.676.713.557.878.730;24.592.259.981.928.000;113;89;1;4;1;0;1
MHS073;1;36.715.494.090.538.600;23.461.714.659.081.200;4.0;26.879.916.355.557.100;103;89;4;0;1;0;1
MHS074;1;25.621.908.733.076.200;23.086.001.345.178.300;34.630.887.737.658.200;39.547.083.202.350.600;125;99;1;5;0;0;1
MHS075;0;28.968.805.205.220.600;2.0;3.398.742.102.239.150;3.072.602.030.142.720;148;143;2;0;1;1;1
MHS076;1;32.641.583.048.151.800;3.103.751.742.579.560;4.0;38.098.060.777.186.500;120;108;4;4;1;1;1
MHS077;1;25.451.535.249.257.700;3.319.311.824.918.820;31.079.303.240.945.000;38.544.978.315.944.100;70;45;2;5;0;1;1
MHS078;0;29.010.185.156.493.400;32.384.140.471.620.500;2.135.209.953.495.420;3.620.856.979.826.170;79;75;3;1;1;1;1
MHS079;0;2.708.709.542.182.530;31.304.532.169.158.300;29.641.629.817.212.800;24.880.907.402.554.700;107;85;3;5;0;0;1
MHS080;0;31.855.729.366.856.500;269.800.740.664.209;304.329.489.373.645;292.216.138.230.396;91;64;4;4;1;0;1
MHS081;0;33.814.236.453.990.600;33.189.833.495.104.800;2.778.783.812.544.350;3.229.355.085.779.500;147;122;2;3;0;0;1
MHS082;1;3.600.606.961.081.970;2.795.962.313.489.220;2.0;2.495.956.844.541.290;120;92;2;0;0;0;1
MHS083;0;20.695.450.595.726.700;34.984.700.341.392.000;3.343.415.895.271.320;2.0;122;115;4;2;0;0;1
MHS084;1;30.825.971.900.602.800;3.284.468.337.234.820;2.562.596.643.127.640;27.998.135.634.162.200;84;70;1;0;1;1;1
MHS085;0;3.414.076.745.195.050;350.494.748.052.483;2.751.570.483.663.680;3.193.922.440.765.230;137;116;2;1;0;0;1
MHS086;1;35.187.699.721.289.400;27.449.918.005.726.200;28.650.625.323.533.100;25.106.181.421.088.400;98;91;1;4;0;1;1
MHS087;1;36.652.192.816.345.400;3.999.658.603.124.900;33.590.492.741.258.400;3.783.797.210.439.480;89;79;2;1;1;1;1
MHS088;1;25.545.783.287.744.600;2.0;3.090.265.420.902.710;4.0;129;119;4;3;1;1;1
MHS089;1;3.602.485.323.650.370;33.362.125.094.475.400;2.685.064.177.189.600;2.908.265.423.201.760;120;92;2;0;1;0;1
MHS090;0;2.835.363.146.472.090;2.764.859.276.635.270;27.987.744.456.865.800;27.854.309.824.662.000;126;126;3;5;0;0;1
MHS091;1;2.208.296.639.480.240;37.077.414.012.554.200;26.017.485.206.712.000;333.038.761.586.107;126;106;2;0;0;0;1
MHS092;1;34.115.852.919.809.500;30.366.589.835.942.000;2.355.019.550.129.470;2.352.460.613.968.190;103;77;1;2;0;1;1
MHS093;0;28.771.284.679.570.200;2.863.638.215.126.160;2.0;2.972.852.566.741.090;102;86;1;2;1;1;1
MHS094;1;30.392.044.612.530.300;2.257.649.214.241.460;2.981.482.043.140.440;3.214.724.122.691.830;89;68;2;3;0;0;1
MHS095;1;4.0;3.029.609.217.007.240;3.006.964.645.956.470;29.879.374.564.449.900;125;107;2;5;0;0;1
MHS096;0;35.430.527.633.848.200;28.027.088.408.817.000;21.746.321.402.757.100;33.504.711.307.230.300;116;99;2;5;1;0;1
MHS097;1;3.795.858.661.594.070;2.991.038.213.219.070;2.850.681.104.100.740;26.420.950.655.656.900;124;118;3;1;1;0;0
MHS098;1;37.074.818.457.483.300;30.625.230.155.832.200;2.871.591.486.037.130;3.512.143.290.889.690;126;104;3;2;0;0;1
MHS099;1;30.493.728.888.186.600;2.934.827.427.006.390;3.250.238.759.710.310;2.473.370.639.677.500;77;76;3;5;1;1;1
MHS100;1;281.951.691.709.046;3.579.664.901.682.120;2.459.468.336.200.050;3.307.967.803.472.130;124;109;2;1;0;0;1
MHS101;0;3.165.159.534.121.300;34.350.049.537.820.300;32.636.918.578.462.400;3.130.968.805.553.410;138;119;3;1;0;1;1
MHS102;0;2.221.685.413.238.040;330.300.497.567.282;23.597.853.237.518.500;38.773.970.909.921.800;78;77;1;3;0;1;1
MHS103;1;27.275.404.565.955.200;31.995.680.571.760.300;29.811.826.487.875.700;35.516.509.410.082.600;83;75;4;1;0;0;0
MHS104;0;3.308.694.904.860.160;23.999.150.017.991.900;24.777.526.268.000.600;2.888.802.640.056.070;98;86;2;4;0;1;1
MHS105;1;3.673.372.989.320.490;3.063.396.579.840.230;2.620.180.309.760.880;29.983.245.651.705.100;106;82;2;1;1;0;1
MHS106;0;38.102.667.225.829.300;37.852.473.176.305.600;24.981.210.542.183.100;32.551.481.947.911.600;114;98;2;4;1;1;1
MHS107;1;2.072.607.097.920.340;250.520.847.121.263;30.736.039.146.848.000;288.872.926.391.443;98;78;3;2;1;1;1
MHS108;0;33.740.173.629.808.600;37.504.858.152.821.400;29.361.520.746.946.100;32.775.726.443.555.600;93;72;2;4;1;0;1
MHS109;1;2.712.181.086.881.110;30.610.049.073.226.800;4.0;2.951.970.050.137.670;142;117;2;4;0;0;1
MHS110;1;29.825.057.547.515.100;3.885.400.317.817.750;26.865.164.711.061.100;39.062.242.789.984.600;108;106;3;1;0;1;0
MHS111;1;2.846.107.191.660.090;26.705.507.890.118.900;33.318.686.069.440.100;35.050.707.302.143.000;116;105;2;2;1;0;1
MHS112;0;34.024.015.893.669.000;34.651.266.729.767.700;30.198.708.479.552.100;30.056.742.394.881.000;81;67;3;1;0;0;1
MHS113;1;340.924.236.731.927;3.066.923.827.123;3.223.319.865.758.540;2.893.363.812.017.100;128;106;1;1;0;1;1
MHS114;1;27.672.749.087.979.700;3.443.258.706.284.520;229.742.003.881.777;32.505.166.717.586.700;129;117;2;2;0;0;1
MHS115;1;2.0;23.579.295.579.550.100;36.669.298.098.803.500;31.589.075.328.145.600;73;45;2;0;0;1;1
MHS116;0;3.133.525.132.934.620;34.448.153.978.117.100;30.411.419.946.377.100;35.327.401.875.326.700;101;99;3;5;1;0;1
MHS117;1;4.0;26.748.145.279.649.800;26.611.454.971.874.700;22.393.775.627.056.700;99;75;3;3;0;0;1
MHS118;1;29.955.679.886.718.100;29.326.636.229.587.000;3.393.087.460.094.600;277.383.591.718.275;87;58;1;0;1;0;1
MHS119;0;29.826.575.563.066.000;31.171.073.662.682.600;37.752.502.464.070.300;25.008.229.796.306.000;81;55;2;4;0;0;1
MHS120;0;31.370.028.925.427.800;30.251.532.613.776.600;31.217.478.694.039.400;3.464.048.888.308.090;131;119;2;0;0;1;0
MHS121;1;3.583.551.457.191.810;38.105.542.788.938.500;22.150.198.311.713.200;3.036.981.482.036.780;126;101;1;0;1;0;1
MHS122;1;2.752.015.476.836.760;2.915.942.552.187.350;28.133.003.658.117.100;24.132.148.964.939.300;119;102;2;0;1;0;1
MHS123;1;4.0;2.667.030.758.602.300;2.0;2.560.814.406.453.600;98;90;3;0;1;1;1
MHS124;1;3.271.749.551.394.670;35.418.048.269.527.300;25.747.217.706.689.000;30.523.676.493.190.600;148;143;4;2;0;1;1
MHS125;1;3.275.533.872.737.950;30.194.388.039.614.700;3.021.635.847.372.140;3.515.236.710.217.910;127;125;4;1;1;0;0
MHS126;0;3.291.964.092.662.980;282.035.395.460.647;32.953.274.153.461.500;3.554.351.790.291.450;128;102;4;0;0;0;1
MHS127;0;3.533.337.344.794.570;35.846.477.952.228.300;36.910.794.955.187.600;33.243.549.437.948.200;76;72;3;4;1;0;1
MHS128;0;2.729.050.437.805.720;3.319.445.522.968.380;3.783.653.933.319.470;31.715.545.414.758.700;81;75;2;4;1;0;1
MHS129;0;25.044.098.451.949.700;3.077.203.638.480.840;28.894.013.341.371.000;3.094.860.441.779.020;99;93;2;0;1;1;1
MHS130;0;24.072.899.976.598.400;28.005.537.538.732.200;3.385.212.608.558.320;33.383.851.353.584.700;89;86;2;3;0;1;1
MHS131;0;3.375.951.309.016.340;3.488.449.539.018.530;2.652.289.185.055.010;2.979.214.951.228.730;119;106;4;4;1;1;1
MHS132;0;31.835.511.333.940.300;27.370.973.063.435.200;2.934.480.796.500.500;2.0;120;110;2;1;1;1;1
MHS133;1;23.850.653.108.795.900;2.911.129.839.256.290;33.243.181.673.604.800;34.936.544.496.283.100;101;100;3;5;1;1;1
MHS134;0;2.888.793.610.772.210;24.265.206.856.332.800;29.427.048.498.460.100;3.316.633.751.151.780;128;109;2;2;0;0;1
MHS135;0;24.417.070.978.730.700;2.414.328.495.134.510;34.710.832.525.819.100;3.430.048.192.071.530;104;88;1;3;1;0;1
MHS136;1;32.527.509.053.057.400;2.985.537.557.912.560;31.348.346.786.985.300;2.884.971.782.201.800;122;115;3;2;1;1;1
MHS137;1;3.256.917.596.532.770;28.715.948.457.904.800;381.905.637.477.382;375.051.942.000.223;78;73;4;0;1;0;0
MHS138;1;2.204.297.676.251.850;3.282.350.531.268.070;2.682.697.482.353.320;3.497.876.118.340.670;146;130;4;4;1;1;1
MHS139;1;3.164.247.685.064.900;2.963.858.260.964.780;3.450.912.400.180.840;36.373.386.692.823.700;102;75;2;0;1;0;1
MHS140;1;26.896.978.680.302.400;32.183.569.834.451.600;30.813.810.394.619.900;25.441.027.556.243.200;148;133;2;5;1;1;1
MHS141;0;2.889.517.913.085.160;30.134.429.194.972.600;31.041.914.039.737.700;2.0;102;94;1;5;0;0;1
MHS142;1;23.073.140.671.651.300;2.446.340.243.326.840;34.596.514.348.538.700;32.762.620.426.291.900;113;97;4;2;0;0;1
MHS143;0;3.029.815.184.960.080;2.676.531.611.147.210;3.349.111.656.806.790;3.196.742.692.710.870;119;92;2;3;1;0;1
MHS144;0;4.0;2.897.372.685.192.950;4.0;35.861.196.233.791.900;91;66;3;2;0;0;1
MHS145;1;2.815.239.191.588.880;31.022.746.980.453.700;24.842.118.765.649.200;273.535.088.122.689;122;100;4;2;1;1;1
MHS146;1;2.533.393.296.177.200;33.766.628.801.886.200;2.436.086.389.749.340;32.821.386.940.133.600;104;76;1;5;0;0;1
MHS147;0;28.316.886.363.394.100;31.758.773.382.968.500;29.541.203.380.002.400;3.251.394.860.520.370;93;74;1;3;1;1;1
MHS148;1;3.112.225.909.279.980;3.523.549.151.306.070;38.419.638.457.289.300;277.055.786.856.553;135;121;2;3;1;0;1
MHS149;1;23.613.897.670.384.500;2.225.610.088.743.890;3.623.163.442.898.720;2.936.594.251.048.480;95;88;4;5;0;1;1
MHS150;1;31.153.204.551.321.800;2.0;2.648.151.253.983.690;29.289.807.366.128.000;110;81;2;3;0;0;1
MHS151;1;2.0;31.175.999.144.273.500;24.222.159.759.471.400;31.596.116.710.977.700;97;96;3;4;0;0;1
MHS152;0;27.661.493.993.440.500;31.732.519.408.653.500;2.976.539.710.560.400;3.238.520.413.611.560;80;71;3;5;1;1;1
MHS153;1;39.755.171.490.100.000;2.705.010.704.792.770;29.182.663.316.488.900;24.274.112.879.823.000;77;67;4;0;0;1;1
MHS154;1;3.423.539.504.992.510;361.125.045.744.344;3.607.254.642.652.670;29.552.386.948.760.400;113;90;4;5;1;0;1
MHS155;0;2.839.188.431.977.010;27.744.974.849.350.300;3.074.588.630.172.460;27.611.599.270.528.900;104;99;1;4;0;0;1
MHS156;0;2.705.618.231.896.600;3.004.645.876.265.450;3.069.671.296.810.630;32.262.674.459.106.600;126;120;3;2;1;0;1
MHS157;1;2.467.218.137.567.480;30.459.028.872.903.300;30.319.281.506.670.700;3.060.294.966.945.350;77;60;1;0;0;1;1
MHS158;0;35.365.436.727.051.500;29.180.195.601.990.300;3.273.607.969.028.500;2.541.420.097.401.980;124;102;2;2;1;1;1
MHS159;1;33.342.340.647.645.500;2.741.551.568.555.100;31.866.980.959.567.700;3.253.507.882.243.590;141;117;2;3;0;0;1
MHS160;0;34.195.924.338.581.500;3.907.686.342.413.450;2.504.986.881.846.860;27.799.963.045.022.900;133;128;3;0;0;0;0
MHS161;0;31.606.786.077.251.300;32.109.603.771.176.400;38.068.556.345.293.200;32.267.671.507.569.800;137;136;1;5;1;1;1
MHS162;1;3.450.737.314.973.890;2.930.568.706.402.660;28.178.987.582.560.300;3.376.437.838.806.980;144;144;4;5;1;0;1
MHS163;0;3.554.630.101.111.460;22.689.820.142.490.500;35.857.902.634.412.500;4.0;88;61;1;0;0;0;1
MHS164;1;2.353.427.338.176.920;26.995.130.184.983.100;30.848.468.961.760.000;2.649.942.063.397.490;147;138;2;5;0;0;1
MHS165;0;3.029.571.061.136.210;35.630.585.130.076.900;2.772.877.862.423.360;29.900.323.023.770.900;95;71;4;4;1;1;1
MHS166;0;29.250.060.543.001.300;21.828.523.321.851.100;35.112.204.761.969.000;2.0;115;98;4;2;0;0;1
MHS167;0;33.794.642.948.933.800;3.140.595.711.984.680;3.052.100.551.975.930;29.687.034.360.502.300;84;81;1;4;1;0;1
MHS168;1;31.952.011.719.581.300;2.444.980.947.454.270;4.0;31.390.530.095.459.800;98;84;4;2;1;1;1
MHS169;1;3.757.258.781.294.790;33.865.415.945.887.600;26.983.382.173.891.400;22.065.941.422.024.500;144;138;3;3;1;0;1
MHS170;0;2.709.382.413.458.580;2.552.245.298.927.450;27.166.024.134.769.500;32.641.627.171.051.400;125;122;4;3;1;0;1
MHS171;1;27.105.183.724.029.100;3.031.844.196.825.800;32.359.806.666.233.000;30.696.077.043.224.500;91;70;1;5;1;0;1
MHS172;1;32.498.185.505.629.700;2.351.812.040.368.070;35.747.098.641.318.500;28.495.479.903.193.200;141;118;4;0;1;0;1
MHS173;0;35.349.252.493.505.100;25.435.259.634.879.900;32.177.779.241.874.000;34.461.318.301.850.600;87;69;4;1;0;0;1
MHS174;1;27.764.267.688.080.400;27.069.714.490.646.800;2.959.870.476.896.220;3.546.635.452.729.960;90;74;2;4;0;0;1
MHS175;1;32.793.703.763.059.200;24.050.274.733.171.500;3.367.122.144.851.480;23.239.177.766.876.300;126;97;1;1;1;0;1
MHS176;0;25.981.627.160.151.300;38.195.584.027.220.300;38.388.504.070.382.200;27.232.058.791.460.000;144;138;4;3;1;0;1
MHS177;1;32.844.915.395.926.300;3.814.198.311.564.260;28.104.361.295.062.500;2.898.209.819.948.810;105;103;1;0;0;1;0
MHS178;0;2.488.782.310.227.110;4.0;32.466.916.502.057.600;348.270.398.721.769;113;87;4;4;1;1;1
MHS179;1;32.313.131.676.905.500;4.0;2.413.698.371.569.340;23.832.659.493.599.400;139;138;3;3;1;1;1
MHS180;0;29.938.608.614.438.400;3.056.700.031.636.300;34.342.217.553.704.900;21.019.855.067.584.600;127;124;1;4;0;0;1
MHS181;0;3.084.680.412.018.030;229.314.275.154.751;29.443.869.693.256.400;2.548.046.179.267.600;85;74;1;3;1;1;1
MHS182;0;24.538.436.176.637.100;2.841.795.775.152.590;36.065.488.499.895.900;30.708.584.568.199.500;90;71;2;5;1;1;1
MHS183;0;31.490.261.050.535.800;3.500.963.774.477.590;23.809.186.125.972.100;3.012.426.169.122.320;83;80;1;1;0;1;0
MHS184;0;2.081.897.313.448.350;3.253.995.663.456.270;24.483.166.969.130.600;2.0;137;120;3;5;0;1;1
MHS185;0;3.844.845.206.679.360;39.465.182.069.558.300;3.013.061.215.769.860;2.0;118;109;2;1;0;0;0
MHS186;1;32.842.205.031.280.700;3.299.797.056.640.740;2.746.438.469.971.700;2.881.822.631.455.500;90;88;2;2;1;0;1
MHS187;1;3.043.657.487.004.280;32.733.458.028.856.500;3.061.615.136.457.330;33.547.309.087.149.200;123;123;4;5;0;1;1
MHS188;1;26.747.934.826.450.000;32.648.465.664.527.200;2.0;30.319.783.934.554.600;94;82;1;1;1;0;1
MHS189;1;22.093.712.145.402.500;3.018.055.087.665.060;31.209.333.507.567.700;25.152.380.552.400.100;100;87;4;1;0;1;1
MHS190;0;2.395.152.628.579.440;3.299.964.364.998.100;37.653.754.161.718.400;36.093.809.258.486.500;100;82;1;2;1;1;1
MHS191;0;30.743.337.286.010.500;28.314.570.144.409.800;269.329.866.822.953;2.848.765.156.755.930;149;134;4;0;1;1;1
MHS192;0;26.334.969.683.616.700;26.283.549.985.175.100;27.035.860.313.102.500;2.746.333.612.305.720;105;78;2;1;0;0;1
MHS193;1;3.857.263.534.096.860;24.703.072.280.954.200;31.901.792.651.919.500;2.0;83;77;1;4;1;0;1
MHS194;1;2.716.403.790.593.660;2.805.291.061.253.480;3.684.720.488.212.050;280.798.391.105.993;90;81;3;1;1;0;0
MHS195;0;25.029.468.834.789.000;2.984.530.501.422.180;2.019.920.995.853.080;4.0;121;99;1;1;1;1;1
MHS196;1;3.584.108.860.908.430;2.568.547.330.624.750;2.0;27.775.271.199.376.600;121;93;2;1;0;1;1
MHS197;0;3.232.522.730.507.590;3.083.326.414.281.750;3.162.588.398.264.530;29.166.379.834.565.800;129;122;1;3;0;0;1
MHS198;1;25.256.390.885.394.300;2.0;3.183.228.583.148.980;28.715.227.548.232.500;114;96;1;3;0;0;1
MHS199;0;33.965.281.903.287.100;361.387.612.990.965;2.938.493.038.321.540;30.470.897.208.402.000;86;82;4;4;1;1;1
MHS200;0;2.509.541.278.519.850;23.360.409.641.563.600;33.401.326.896.477.400;3.578.907.421.012.000;97;79;3;1;0;0;1
MHS201;1;2.601.020.261.129.270;292.763.467.435.714;3.474.254.101.858.330;3.017.426.438.195.880;77;70;1;0;1;0;0
MHS202;1;2.894.331.957.224.500;294.129.957.042.252;2.986.420.783.297.960;3.287.154.220.419.240;79;59;4;3;0;1;1
MHS203;1;37.278.093.450.405.500;38.996.357.875.095;3.372.900.625.530.200;32.967.145.865.968.000;80;71;3;0;1;1;1
MHS204;0;28.807.332.765.786.600;26.104.930.784.831.500;2.0;34.871.311.110.644.000;91;72;2;3;0;1;1
MHS205;1;28.396.125.835.468.600;2.998.699.166.195.490;33.730.937.036.572.000;2.819.903.202.695.020;81;73;3;1;0;0;0
